qber,photon_count,latency_ms,abort_flag,label
0.09181,1077,5.66496,0,intercept_resend
0.02985,1025,5.50545,0,normal
0.04555,814,6.18851,0,fiber_tap
0.0721,886,7.69394,0,fiber_tap
0.05512,1010,6.21958,0,intercept_resend
0.02099,1013,5.96947,0,normal
0.05195,722,6.67122,0,fiber_tap
0.07316,225,7.26336,1,detector_blind
0.01654,1038,5.24424,0,normal
0.043,766,6.55864,0,fiber_tap
0.01867,1026,5.8637,0,normal
0.0808,966,6.25262,0,intercept_resend
0.01367,959,5.41004,0,normal
0.11,935,5.76019,0,intercept_resend
0.06943,208,8.11276,1,detector_blind
0.11,1053,6.06043,0,intercept_resend
0.06876,152,7.71409,1,detector_blind
0.04786,822,6.90943,0,fiber_tap
0.0627,160,7.38102,1,detector_blind
0.05516,988,5.68384,0,intercept_resend
0.01567,963,5.40072,0,normal
0.07983,261,7.43604,0,detector_blind
0.04638,911,6.597,0,fiber_tap
0.06153,191,6.93991,1,detector_blind
0.02154,964,5.87843,0,normal
0.06556,676,6.65966,0,fiber_tap
0.01857,994,6.01185,0,normal
0.09382,954,5.30379,0,intercept_resend
0.09197,996,6.11612,0,intercept_resend
0.06835,245,7.07873,1,detector_blind
0.09561,1005,6.03077,0,intercept_resend
0.08706,984,6.44138,0,intercept_resend
0.04749,821,7.22805,0,fiber_tap
0.05858,115,8.13334,1,detector_blind
0.01881,1034,5.94824,0,normal
0.05374,103,7.41553,1,detector_blind
0.02377,1045,5.38222,0,normal
0.0188,972,5.65397,0,normal
0.05889,849,6.06424,0,fiber_tap
0.01817,959,5.6207,0,normal
0.04854,276,7.43349,1,detector_blind
0.06825,275,7.19691,1,detector_blind
0.0487,759,6.53207,0,fiber_tap
0.06185,268,7.78213,1,detector_blind
0.07641,177,7.63917,1,detector_blind
0.05975,120,7.48898,0,detector_blind
0.01436,997,5.24161,0,normal
0.07168,1039,6.19103,0,intercept_resend
0.07289,207,7.50065,1,detector_blind
0.03951,836,6.45606,0,fiber_tap
0.05621,757,7.14456,0,fiber_tap
0.06172,936,5.97044,0,intercept_resend
0.09,232,8.40742,1,detector_blind
0.07917,996,5.63655,0,intercept_resend
0.09789,1041,5.99847,0,intercept_resend
0.06116,1007,5.68126,0,intercept_resend
0.09454,993,5.62404,0,intercept_resend
0.06806,215,7.43939,1,detector_blind
0.01603,970,5.71045,0,normal
0.08,706,6.82891,0,fiber_tap
0.07858,262,7.90812,1,detector_blind
0.01756,1023,5.59951,0,normal
0.07936,177,8.14598,1,detector_blind
0.11,973,6.08265,0,intercept_resend
0.02386,1034,6.06935,0,normal
0.08438,1029,6.52068,0,intercept_resend
0.0773,170,7.22758,0,detector_blind
0.07353,1027,6.30961,0,intercept_resend
0.02444,965,5.50779,0,normal
0.08098,199,7.25002,1,detector_blind
0.08269,165,6.80597,0,detector_blind
0.06839,816,6.99985,0,fiber_tap
0.11,1033,6.19966,0,intercept_resend
0.06958,151,7.28065,1,detector_blind
0.02571,962,5.28488,0,normal
0.05276,710,6.73572,0,fiber_tap
0.04441,160,7.78777,0,detector_blind
0.06443,879,7.00314,0,fiber_tap
0.04406,814,7.0552,0,fiber_tap
0.07926,1004,5.69212,0,intercept_resend
0.02231,1050,5.55655,0,normal
0.07283,237,8.07584,1,detector_blind
0.07676,912,7.29568,0,fiber_tap
0.01979,971,5.83275,0,normal
0.06363,838,6.64154,0,fiber_tap
0.0176,969,5.64488,0,normal
0.07306,148,7.53491,1,detector_blind
0.04455,809,6.606,0,fiber_tap
0.02032,974,6.05123,0,normal
0.10621,1041,6.1666,0,intercept_resend
0.07247,122,7.29595,1,detector_blind
0.07164,203,7.63537,1,detector_blind
0.09546,982,6.76781,0,intercept_resend
0.02168,978,5.58327,0,normal
0.02189,1015,5.27804,0,normal
0.06901,965,6.04507,0,intercept_resend
0.09726,1018,6.06601,0,intercept_resend
0.08,868,6.70244,0,fiber_tap
0.07802,985,5.60702,0,intercept_resend
0.04678,738,6.32751,0,fiber_tap
0.02197,1015,5.50544,0,normal
0.04715,812,6.89643,0,fiber_tap
0.06506,777,6.96,0,fiber_tap
0.04946,758,7.18791,0,fiber_tap
0.08371,170,7.21044,0,detector_blind
0.09424,1034,6.19122,0,intercept_resend
0.06367,193,7.7565,1,detector_blind
0.06287,181,7.56462,1,detector_blind
0.02049,997,5.63923,0,normal
0.02345,999,5.68917,0,normal
0.06349,145,7.19252,0,detector_blind
0.07696,0,7.84235,0,detector_blind
0.01372,1019,5.56449,0,normal
0.07039,948,6.34222,0,intercept_resend
0.07581,176,7.8208,0,detector_blind
0.07199,819,7.14652,0,fiber_tap
0.06608,191,7.07355,0,detector_blind
0.01908,1005,5.50511,0,normal
0.10441,1001,5.90521,0,intercept_resend
0.02172,989,5.56096,0,normal
0.09212,987,5.726,0,intercept_resend
0.09,170,7.89311,0,detector_blind
0.01529,987,5.85135,0,normal
0.02544,1001,5.66341,0,normal
0.06936,857,6.5053,0,fiber_tap
0.07978,1019,6.54619,0,intercept_resend
0.02603,1042,5.85528,0,normal
0.07239,221,7.81784,1,detector_blind
0.08776,936,5.89166,0,intercept_resend
0.03791,799,6.74306,0,fiber_tap
0.01683,985,6.0296,0,normal
0.06295,826,6.53483,0,fiber_tap
0.06766,165,6.75679,1,detector_blind
0.02159,1004,5.79598,0,normal
0.07504,308,7.39295,1,detector_blind
0.05116,268,7.33695,1,detector_blind
0.06653,131,8.538,1,detector_blind
0.05608,809,5.95645,0,fiber_tap
0.1077,1034,5.6016,0,intercept_resend
0.04667,908,6.74374,0,fiber_tap
0.05556,124,8.16742,1,detector_blind
0.06647,131,7.87201,1,detector_blind
0.05928,68,7.47455,0,detector_blind
0.06928,129,7.06864,1,detector_blind
0.02177,1010,5.6581,0,normal
0.02071,1000,5.304,0,normal
0.07751,985,6.22133,0,intercept_resend
0.02191,1020,5.18304,0,normal
0.02117,1013,5.78638,0,normal
0.08201,959,6.07012,0,intercept_resend
0.02131,991,5.68136,0,normal
0.09,113,7.98234,1,detector_blind
0.0488,784,6.83626,0,fiber_tap
0.11,947,5.9207,0,intercept_resend
0.07689,74,7.95327,1,detector_blind
0.0851,946,5.89288,0,intercept_resend
0.0109,993,6.5353,0,normal
0.01484,987,5.6042,0,normal
0.07092,991,5.61672,0,intercept_resend
0.0488,705,7.18529,0,fiber_tap
0.0655,291,7.72462,1,detector_blind
0.01698,1007,5.69842,0,normal
0.08609,1032,5.50724,0,intercept_resend
0.08649,955,6.07102,0,intercept_resend
0.06642,208,7.68201,1,detector_blind
0.04977,840,6.47612,0,fiber_tap
0.10552,1014,5.54591,0,intercept_resend
0.01885,1020,5.59058,0,normal
0.02025,980,6.08392,0,normal
0.01864,973,5.64531,0,normal
0.05891,737,6.0521,0,fiber_tap
0.06589,245,8.03724,1,detector_blind
0.08381,961,6.1876,0,intercept_resend
0.05568,264,6.66239,1,detector_blind
0.07729,195,8.16483,1,detector_blind
0.0152,1013,5.76334,0,normal
0.05008,927,6.93568,0,fiber_tap
0.05779,12,9.16173,1,detector_blind
0.01527,986,5.63861,0,normal
0.09687,985,6.12295,0,intercept_resend
0.06981,140,8.22726,1,detector_blind
0.05182,797,6.53856,0,fiber_tap
0.07277,175,7.82642,1,detector_blind
0.02501,974,5.08173,0,normal
0.07813,228,7.29626,0,detector_blind
0.08395,984,6.07058,0,intercept_resend
0.05382,827,7.07632,0,fiber_tap
0.05563,132,7.77297,1,detector_blind
0.0229,987,4.88607,0,normal
0.03456,770,6.61652,0,fiber_tap
0.0221,941,5.28281,0,normal
0.08916,181,7.89867,1,detector_blind
0.01762,995,5.62357,0,normal
0.03258,716,7.45236,0,fiber_tap
0.01739,999,5.73331,0,normal
0.0217,953,5.43821,0,normal
0.06536,205,7.25041,1,detector_blind
0.02203,987,5.15478,0,normal
0.09627,989,6.37735,0,intercept_resend
0.09758,1013,5.76151,0,intercept_resend
0.02125,954,4.81078,0,normal
0.06309,266,7.6814,1,detector_blind
0.08296,1021,6.23817,0,intercept_resend
0.07428,954,5.59815,0,intercept_resend
0.11,1052,5.88465,0,intercept_resend
0.08213,193,8.60104,0,detector_blind
0.03157,763,6.20026,0,fiber_tap
0.06164,207,7.91496,1,detector_blind
0.08387,979,6.31053,0,intercept_resend
0.06722,791,6.35335,0,fiber_tap
0.05145,759,6.55988,0,fiber_tap
0.06279,236,6.63725,1,detector_blind
0.09772,957,6.22099,0,intercept_resend
0.06938,992,5.98203,0,intercept_resend
0.05197,782,6.56202,0,fiber_tap
0.07645,1035,5.88809,0,intercept_resend
0.01631,959,5.30724,0,normal
0.08183,1057,6.07468,0,intercept_resend
0.07323,276,7.19,1,detector_blind
0.01604,995,6.12949,0,normal
0.05847,786,6.4126,0,fiber_tap
0.10027,975,5.64206,0,intercept_resend
0.07297,322,6.73825,0,detector_blind
0.06522,780,7.17753,0,fiber_tap
0.06146,240,8.47329,0,detector_blind
0.08441,148,7.51006,0,detector_blind
0.06562,1021,5.56278,0,intercept_resend
0.0261,986,6.08032,0,normal
0.02096,1028,5.27252,0,normal
0.03784,832,6.20965,0,fiber_tap
0.02005,1006,5.91374,0,normal
0.06466,185,8.34543,1,detector_blind
0.07946,159,8.34779,1,detector_blind
0.0335,760,6.271,0,fiber_tap
0.01503,1010,5.55342,0,normal
0.01028,989,5.57852,0,normal
0.06699,87,8.05088,1,detector_blind
0.11,1015,5.77512,0,intercept_resend
0.08276,329,7.06928,1,detector_blind
0.10271,1028,5.82254,0,intercept_resend
0.05029,938,6.28693,0,fiber_tap
0.02297,995,5.83618,0,normal
0.0749,286,8.28328,1,detector_blind
0.05666,94,7.72728,0,detector_blind
0.04679,838,7.61215,0,fiber_tap
0.02819,959,5.78748,0,normal
0.10394,1001,5.8976,0,intercept_resend
0.02323,970,5.81742,0,normal
0.06963,676,7.44356,0,fiber_tap
0.07325,863,6.88715,0,fiber_tap
0.07332,59,7.81899,1,detector_blind
0.05554,990,6.02658,0,intercept_resend
0.08834,989,5.7356,0,intercept_resend
0.05985,741,6.63245,0,fiber_tap
0.01799,969,5.41112,0,normal
0.02433,1025,5.60367,0,normal
0.05567,236,7.32846,1,detector_blind
0.07223,998,6.72056,0,fiber_tap
0.06223,175,8.01334,0,detector_blind
0.01906,1014,5.75205,0,normal
0.05616,842,6.94383,0,fiber_tap
0.09064,1005,5.61458,0,intercept_resend
0.09379,976,6.30184,0,intercept_resend
0.05891,103,6.63483,0,detector_blind
0.0219,990,5.75478,0,normal
0.06603,288,7.49796,1,detector_blind
0.02015,1054,6.38385,0,normal
0.09471,1000,5.54026,0,intercept_resend
0.01819,981,6.05863,0,normal
0.05856,790,7.30545,0,fiber_tap
0.06017,963,6.77173,0,fiber_tap
0.09015,988,5.96224,0,intercept_resend
0.06038,866,6.83752,0,fiber_tap
0.02407,985,5.48417,0,normal
0.076,232,7.30944,0,detector_blind
0.0675,632,7.23455,0,fiber_tap
0.02355,986,5.36975,0,normal
0.08258,1031,6.27278,0,intercept_resend
0.09486,1048,6.15316,0,intercept_resend
0.06962,130,8.26007,1,detector_blind
0.0655,909,6.88932,0,fiber_tap
0.02193,1018,5.74191,0,normal
0.05931,730,6.95195,0,fiber_tap
0.01946,1023,5.95189,0,normal
0.07412,1021,6.25387,0,intercept_resend
0.01809,1015,6.08656,0,normal
0.02182,998,5.67767,0,normal
0.07146,161,7.64938,1,detector_blind
0.02282,1003,5.30777,0,normal
0.07268,230,7.66699,1,detector_blind
0.01823,967,5.4896,0,normal
0.08379,1031,5.9819,0,intercept_resend
0.01962,950,6.06574,0,normal
0.01573,998,5.53215,0,normal
0.01908,1046,5.38248,0,normal
0.02979,957,5.88478,0,normal
0.02157,994,5.5696,0,normal
0.04117,871,7.10503,0,fiber_tap
0.02128,1036,5.64019,0,normal
0.02188,1035,5.49067,0,normal
0.09047,1065,6.01566,0,intercept_resend
0.07654,941,6.30195,0,intercept_resend
0.0716,190,7.25628,0,detector_blind
0.07398,79,7.80024,1,detector_blind
0.10743,987,5.52647,0,intercept_resend
0.09353,933,6.14383,0,intercept_resend
0.03097,787,7.40418,0,fiber_tap
0.02311,1048,6.00604,0,normal
0.06504,810,5.93519,0,fiber_tap
0.11,1021,5.89666,0,intercept_resend
0.02331,968,5.58454,0,normal
0.08016,1064,5.36294,0,intercept_resend
0.09704,1029,5.52713,0,intercept_resend
0.11,986,6.20979,0,intercept_resend
0.01826,985,6.15684,0,normal
0.11,987,5.4388,0,intercept_resend
0.02351,1002,5.62919,0,normal
0.04012,831,6.39576,0,fiber_tap
0.0845,983,6.33425,0,intercept_resend
0.05994,154,8.21926,1,detector_blind
0.08272,1003,5.45066,0,intercept_resend
0.0179,994,5.75166,0,normal
0.1057,1010,5.81205,0,intercept_resend
0.04507,778,7.18354,0,fiber_tap
0.04719,195,8.14002,1,detector_blind
0.04718,844,6.67878,0,fiber_tap
0.01795,986,5.62167,0,normal
0.01408,983,5.93685,0,normal
0.01723,963,5.2369,0,normal
0.0224,999,5.43976,0,normal
0.08446,1015,5.51465,0,intercept_resend
0.06376,688,6.66253,0,fiber_tap
0.02272,1009,5.35262,0,normal
0.07447,962,5.9501,0,intercept_resend
0.08534,213,8.17096,0,detector_blind
0.02006,982,5.72922,0,normal
0.02002,1020,5.68226,0,normal
0.01599,990,5.34031,0,normal
0.018,1016,5.52983,0,normal
0.0198,1026,5.50322,0,normal
0.04656,713,6.62072,0,fiber_tap
0.07248,1013,6.06771,0,intercept_resend
0.07502,105,7.4928,0,detector_blind
0.05302,812,6.74346,0,fiber_tap
0.02302,1004,5.10073,0,normal
0.05857,823,6.5597,0,fiber_tap
0.06806,186,7.64967,0,detector_blind
0.02142,1023,5.64137,0,normal
0.02253,983,5.15217,0,normal
0.04494,773,6.83542,0,fiber_tap
0.05897,841,7.20492,0,fiber_tap
0.06308,810,7.3247,0,fiber_tap
0.06687,167,7.45182,1,detector_blind
0.06403,267,7.96775,1,detector_blind
0.05734,655,6.62556,0,fiber_tap
0.02274,1042,5.50913,0,normal
0.01475,1018,5.99868,0,normal
0.08473,245,7.7031,1,detector_blind
0.03662,783,7.04819,0,fiber_tap
0.10184,989,5.90942,0,intercept_resend
0.03636,735,6.74642,0,fiber_tap
0.08125,165,7.46138,1,detector_blind
0.08765,996,5.64642,0,intercept_resend
0.11,1019,6.22816,0,intercept_resend
0.04646,748,6.63763,0,fiber_tap
0.0201,1002,5.79169,0,normal
0.08738,979,5.52515,0,intercept_resend
0.04556,940,6.77568,0,fiber_tap
0.11,948,5.39857,0,intercept_resend
0.08844,995,5.66094,0,intercept_resend
0.02329,962,5.73762,0,normal
0.03565,910,6.53341,0,fiber_tap
0.06669,120,8.47459,1,detector_blind
0.0186,997,4.79834,0,normal
0.06787,222,7.71767,1,detector_blind
0.01225,1017,5.06449,0,normal
0.04386,884,6.14113,0,fiber_tap
0.06726,820,6.73211,0,fiber_tap
0.02162,961,5.93972,0,normal
0.04106,787,7.6117,0,fiber_tap
0.06358,928,6.69454,0,intercept_resend
0.08832,986,6.09794,0,intercept_resend
0.10014,1009,5.91982,0,intercept_resend
0.06193,960,6.37276,0,fiber_tap
0.04422,273,7.1468,1,detector_blind
0.08308,237,7.57358,1,detector_blind
0.08497,282,7.62169,1,detector_blind
0.07449,109,7.044,0,detector_blind
0.04872,801,6.18841,0,fiber_tap
0.09,107,7.88068,1,detector_blind
0.07541,1044,5.90278,0,intercept_resend
0.09319,1035,6.09435,0,intercept_resend
0.06664,174,7.46849,1,detector_blind
0.06905,793,7.22755,0,fiber_tap
0.07634,135,7.29299,1,detector_blind
0.06661,316,7.27819,0,detector_blind
0.02645,1026,6.00768,0,normal
0.0656,190,8.39404,1,detector_blind
0.07438,148,8.05401,1,detector_blind
0.07535,990,5.23908,0,intercept_resend
0.11,986,6.03366,0,intercept_resend
0.02598,959,5.4235,0,normal
0.07184,1051,6.09339,0,intercept_resend
0.02098,1007,5.50712,0,normal
0.09,179,7.70404,0,detector_blind
0.01929,1019,5.88917,0,normal
0.07199,177,7.99134,1,detector_blind
0.09,262,7.27101,1,detector_blind
0.05479,788,7.03994,0,fiber_tap
0.06642,870,6.40761,0,fiber_tap
0.01507,1016,5.78769,0,normal
0.07382,999,5.43437,0,intercept_resend
0.0968,1041,5.92669,0,intercept_resend
0.06877,881,6.70344,0,fiber_tap
0.08346,98,8.06798,1,detector_blind
0.0488,781,5.97013,0,fiber_tap
0.02275,938,6.23649,0,normal
0.04586,783,6.71365,0,fiber_tap
0.01496,998,5.96843,0,normal
0.0186,943,5.80702,0,normal
0.07713,96,8.54588,1,detector_blind
0.01541,1032,5.42864,0,normal
0.02383,1006,5.6923,0,normal
0.09162,959,6.25628,0,intercept_resend
0.04087,771,7.09507,0,fiber_tap
0.01956,972,5.37934,0,normal
0.05933,157,8.09223,1,detector_blind
0.04235,848,6.56696,0,fiber_tap
0.0174,985,5.42228,0,normal
0.10612,1025,5.95605,0,intercept_resend
0.02812,1033,5.54334,0,normal
0.07459,209,7.81946,1,detector_blind
0.0725,969,6.07526,0,intercept_resend
0.03316,767,6.62288,0,fiber_tap
0.07892,1030,6.49657,0,intercept_resend
0.06613,969,6.23687,0,intercept_resend
0.09184,995,6.15068,0,intercept_resend
0.05998,945,6.00839,0,intercept_resend
0.11,942,6.17049,0,intercept_resend
0.08404,992,6.03636,0,intercept_resend
0.08973,936,5.74213,0,intercept_resend
0.01263,1007,5.86597,0,normal
0.07246,215,7.63484,1,detector_blind
0.02938,1004,5.91854,0,normal
0.06939,821,6.91847,0,fiber_tap
0.09589,979,5.99467,0,intercept_resend
0.09297,1023,5.94066,0,intercept_resend
0.06137,852,7.06545,0,fiber_tap
0.02195,970,6.08698,0,normal
0.08407,1131,6.51549,0,intercept_resend
0.03763,153,6.96643,1,detector_blind
0.06988,170,8.69361,1,detector_blind
0.08682,1000,6.27807,0,intercept_resend
0.07468,199,7.73934,1,detector_blind
0.06051,727,6.56135,0,fiber_tap
0.01581,1031,5.5797,0,normal
0.09917,1008,5.95022,0,intercept_resend
0.05012,842,6.50835,0,fiber_tap
0.06511,161,7.90105,1,detector_blind
0.07407,184,7.53334,1,detector_blind
0.08406,982,5.35135,0,intercept_resend
0.10388,1032,6.29119,0,intercept_resend
0.05589,777,6.62357,0,fiber_tap
0.01703,996,6.16937,0,normal
0.11,1012,6.05521,0,intercept_resend
0.04538,848,6.7793,0,fiber_tap
0.02826,1037,6.20959,0,normal
0.02992,1004,5.76455,0,normal
0.01521,979,5.58712,0,normal
0.06599,224,7.57048,1,detector_blind
0.01608,975,5.70866,0,normal
0.05558,162,7.89154,1,detector_blind
0.017,1034,5.6581,0,normal
0.05839,807,6.49516,0,fiber_tap
0.05949,845,6.81074,0,fiber_tap
0.10539,1023,6.15368,0,intercept_resend
0.05329,820,6.51826,0,fiber_tap
0.05259,785,6.27079,0,fiber_tap
0.09,96,8.52777,0,detector_blind
0.0619,868,6.54435,0,fiber_tap
0.05878,218,7.49264,1,detector_blind
0.06427,793,6.67259,0,fiber_tap
0.05122,757,6.96466,0,fiber_tap
0.05608,79,8.64662,1,detector_blind
0.0174,972,5.74319,0,normal
0.11,966,6.07865,0,intercept_resend
0.02254,982,5.39733,0,normal
0.11,972,5.27721,0,intercept_resend
0.08272,227,8.18431,0,detector_blind
0.0607,208,8.12112,1,detector_blind
0.08907,1007,6.16422,0,intercept_resend
0.07351,162,7.81792,1,detector_blind
0.01536,1042,5.47191,0,normal
0.06472,111,7.00537,1,detector_blind
0.02075,1038,5.57366,0,normal
0.04923,189,8.17957,1,detector_blind
0.06069,188,7.48892,1,detector_blind
0.0753,128,6.98756,1,detector_blind
0.05143,766,6.41072,0,fiber_tap
0.01836,1054,5.95316,0,normal
0.01261,993,5.85087,0,normal
0.1007,978,5.86715,0,intercept_resend
0.01461,1002,5.63975,0,normal
0.05254,292,7.05929,1,detector_blind
0.06187,900,6.06851,0,fiber_tap
0.0782,163,7.45015,1,detector_blind
0.07239,190,8.75384,1,detector_blind
0.02329,975,5.5175,0,normal
0.06405,156,8.1236,1,detector_blind
0.0203,1022,5.74467,0,normal
0.01,1007,5.44647,0,normal
0.01674,955,6.14167,0,normal
0.07592,968,5.86652,0,intercept_resend
0.01906,1030,5.54624,0,normal
0.05942,746,6.93221,0,fiber_tap
0.05861,808,6.64245,0,fiber_tap
0.07352,81,8.39706,1,detector_blind
0.06379,964,5.97017,0,intercept_resend
0.05757,855,7.14193,0,fiber_tap
0.02212,996,5.66501,0,normal
0.08279,975,5.47643,0,intercept_resend
0.07415,180,8.15256,1,detector_blind
0.08656,241,8.09136,1,detector_blind
0.07408,135,7.02337,1,detector_blind
0.02458,989,5.55978,0,normal
0.07289,203,8.09382,1,detector_blind
0.01643,1021,5.71259,0,normal
0.08,841,5.7964,0,fiber_tap
0.09407,1003,5.88574,0,intercept_resend
0.08466,1014,6.29577,0,intercept_resend
0.05696,781,6.76996,0,fiber_tap
0.01873,991,5.02833,0,normal
0.06238,278,7.47503,1,detector_blind
0.07799,163,8.08074,1,detector_blind
0.06792,247,7.34172,1,detector_blind
0.06482,152,6.90108,1,detector_blind
0.08768,990,6.17275,0,intercept_resend
0.01833,991,6.09155,0,normal
0.08653,955,5.73956,0,intercept_resend
0.07361,951,6.21522,0,intercept_resend
0.02088,1036,5.44604,0,normal
0.01571,912,5.73097,0,normal
0.07263,146,7.73681,1,detector_blind
0.01814,968,5.90101,0,normal
0.11,988,6.15962,0,intercept_resend
0.01733,1014,5.2526,0,normal
0.04541,158,7.54294,0,detector_blind
0.07482,341,8.24471,1,detector_blind
0.08616,974,6.10421,0,intercept_resend
0.05885,255,7.44937,1,detector_blind
0.01652,1042,5.66031,0,normal
0.09307,979,6.30736,0,intercept_resend
0.02393,1029,6.35109,0,normal
0.0743,1061,6.48191,0,intercept_resend
0.04997,774,6.34359,0,fiber_tap
0.11,1013,5.86125,0,intercept_resend
0.03885,662,6.89211,0,fiber_tap
0.07468,684,6.87895,0,fiber_tap
0.06805,1015,5.5492,0,intercept_resend
0.07889,1037,5.73998,0,intercept_resend
0.02195,1046,5.64109,0,normal
0.02189,978,5.52866,0,normal
0.05904,796,7.23636,0,fiber_tap
0.04254,902,6.87836,0,fiber_tap
0.06618,983,6.44751,0,intercept_resend
0.02388,1008,6.02848,0,normal
0.02204,1024,5.69958,0,normal
0.08618,929,5.58257,0,intercept_resend
0.06706,707,7.35357,0,fiber_tap
0.09007,1019,6.00665,0,intercept_resend
0.0229,1015,5.40756,0,normal
0.07258,196,7.86871,1,detector_blind
0.0957,988,6.25189,0,intercept_resend
0.06707,73,8.45372,1,detector_blind
0.06608,760,7.19195,0,fiber_tap
0.01306,1025,5.27101,0,normal
0.08419,1028,5.78991,0,intercept_resend
0.01914,990,5.50392,0,normal
0.09853,985,6.13998,0,intercept_resend
0.06024,862,7.19264,0,fiber_tap
0.086,1055,6.06682,0,intercept_resend
0.04663,785,6.84185,0,fiber_tap
0.08643,1009,6.90461,0,intercept_resend
0.07745,169,7.74424,0,detector_blind
0.02761,999,5.43845,0,normal
0.0696,163,8.43608,1,detector_blind
0.05166,917,6.80826,0,fiber_tap
0.03762,993,6.79136,0,fiber_tap
0.07719,984,5.92875,0,intercept_resend
0.05769,169,8.9556,0,detector_blind
0.08729,286,7.29794,1,detector_blind
0.06376,833,6.34179,0,fiber_tap
0.09382,1071,6.3417,0,intercept_resend
0.07261,802,6.49395,0,fiber_tap
0.05971,183,7.94344,1,detector_blind
0.04346,772,6.45078,0,fiber_tap
0.02224,1000,5.54065,0,normal
0.01572,991,5.2987,0,normal
0.08225,981,5.79923,0,intercept_resend
0.06424,1052,5.51603,0,intercept_resend
0.06918,257,6.76675,1,detector_blind
0.07845,110,7.16829,1,detector_blind
0.10045,991,6.21032,0,intercept_resend
0.05193,852,6.18113,0,fiber_tap
0.01789,1021,5.71699,0,normal
0.07854,979,6.47555,0,intercept_resend
0.10544,993,5.84896,0,intercept_resend
0.01937,983,6.2905,0,normal
0.0863,958,6.07351,0,intercept_resend
0.02783,969,5.57035,0,normal
0.06097,199,8.08658,1,detector_blind
0.08394,1012,5.83191,0,intercept_resend
0.01837,1023,5.756,0,normal
0.08395,995,6.01697,0,intercept_resend
0.06591,129,7.79074,1,detector_blind
0.07515,219,8.07936,1,detector_blind
0.04397,779,7.04195,0,fiber_tap
0.01978,961,5.86125,0,normal
0.09197,1037,6.48552,0,intercept_resend
